datetime,holiday,workingday,casual,registered,count
2012-01-01 00:00:00,0,0,5,43,48
2012-01-01 01:00:00,0,0,15,78,93
2012-01-01 02:00:00,0,0,16,59,75
2012-01-01 03:00:00,0,0,11,41,52
2012-01-01 04:00:00,0,0,0,8,8
2012-01-01 05:00:00,0,0,0,5,5
2012-01-01 06:00:00,0,0,1,1,2
2012-01-01 07:00:00,0,0,1,6,7
2012-01-01 08:00:00,0,0,4,10,14
2012-01-01 09:00:00,0,0,13,27,40
2012-01-01 10:00:00,0,0,18,52,70
2012-01-01 11:00:00,0,0,40,98,138
2012-01-01 12:00:00,0,0,58,143,201
2012-01-01 13:00:00,0,0,82,141,223
2012-01-01 14:00:00,0,0,120,147,267
2012-01-01 15:00:00,0,0,101,164,265
2012-01-01 16:00:00,0,0,68,147,215
2012-01-01 17:00:00,0,0,36,75,111
2012-01-01 18:00:00,0,0,25,81,106
2012-01-01 19:00:00,0,0,20,85,105
2012-01-01 20:00:00,0,0,25,58,83
2012-01-01 21:00:00,0,0,10,61,71
2012-01-01 22:00:00,0,0,13,53,66
2012-01-01 23:00:00,0,0,4,25,29
2012-01-02 00:00:00,1,0,8,31,39
2012-01-02 01:00:00,1,0,1,11,12
2012-01-02 02:00:00,1,0,1,6,7
2012-01-02 04:00:00,1,0,0,4,4
2012-01-02 05:00:00,1,0,1,3,4
2012-01-02 06:00:00,1,0,0,14,14
2012-01-02 07:00:00,1,0,0,16,16
2012-01-02 08:00:00,1,0,2,51,53
2012-01-02 09:00:00,1,0,15,53,68
2012-01-02 10:00:00,1,0,20,89,109
2012-01-02 11:00:00,1,0,33,142,175
2012-01-02 12:00:00,1,0,41,161,202
2012-01-02 13:00:00,1,0,26,150,176
2012-01-02 14:00:00,1,0,10,141,151
2012-01-02 15:00:00,1,0,29,139,168
2012-01-02 16:00:00,1,0,10,144,154
2012-01-02 17:00:00,1,0,17,136,153
2012-01-02 18:00:00,1,0,13,113,126
2012-01-02 19:00:00,1,0,4,89,93
2012-01-02 20:00:00,1,0,5,83,88
2012-01-02 21:00:00,1,0,3,63,66
2012-01-02 22:00:00,1,0,3,36,39
2012-01-02 23:00:00,1,0,2,32,34
2012-01-03 00:00:00,0,1,0,13,13
2012-01-03 01:00:00,0,1,1,5,6
2012-01-03 02:00:00,0,1,0,3,3
2012-01-03 03:00:00,0,1,0,2,2
2012-01-03 04:00:00,0,1,0,5,5
2012-01-03 05:00:00,0,1,0,12,12
2012-01-03 06:00:00,0,1,4,81,85
2012-01-03 07:00:00,0,1,2,168,170
2012-01-03 08:00:00,0,1,5,349,354
2012-01-03 09:00:00,0,1,8,145,153
2012-01-03 10:00:00,0,1,5,55,60
2012-01-03 11:00:00,0,1,12,63,75
2012-01-03 12:00:00,0,1,4,70,74
2012-01-03 13:00:00,0,1,5,68,73
2012-01-03 14:00:00,0,1,7,72,79
2012-01-03 15:00:00,0,1,9,68,77
2012-01-03 16:00:00,0,1,7,129,136
2012-01-03 17:00:00,0,1,4,241,245
2012-01-03 18:00:00,0,1,10,214,224
2012-01-03 19:00:00,0,1,4,152,156
2012-01-03 20:00:00,0,1,0,115,115
2012-01-03 21:00:00,0,1,2,66,68
2012-01-03 22:00:00,0,1,0,33,33
2012-01-03 23:00:00,0,1,0,18,18
2012-01-04 00:00:00,0,1,0,9,9
2012-01-04 01:00:00,0,1,0,3,3
2012-01-04 02:00:00,0,1,0,1,1
2012-01-04 03:00:00,0,1,0,1,1
2012-01-04 04:00:00,0,1,0,2,2
2012-01-04 05:00:00,0,1,0,14,14
2012-01-04 06:00:00,0,1,0,59,59
2012-01-04 07:00:00,0,1,1,151,152
2012-01-04 08:00:00,0,1,5,310,315
2012-01-04 09:00:00,0,1,7,173,180
2012-01-04 10:00:00,0,1,7,57,64
2012-01-04 11:00:00,0,1,6,40,46
2012-01-04 12:00:00,0,1,9,75,84
2012-01-04 13:00:00,0,1,9,82,91
2012-01-04 14:00:00,0,1,6,69,75
2012-01-04 15:00:00,0,1,9,81,90
2012-01-04 16:00:00,0,1,8,123,131
2012-01-04 17:00:00,0,1,9,272,281
2012-01-04 18:00:00,0,1,9,280,289
2012-01-04 19:00:00,0,1,2,182,184
2012-01-04 20:00:00,0,1,2,121,123
2012-01-04 21:00:00,0,1,2,88,90
2012-01-04 22:00:00,0,1,4,48,52
2012-01-04 23:00:00,0,1,0,32,32
2012-01-05 00:00:00,0,1,1,13,14
2012-01-05 01:00:00,0,1,0,5,5
2012-01-05 02:00:00,0,1,0,4,4
2012-01-05 03:00:00,0,1,0,4,4
2012-01-05 04:00:00,0,1,0,5,5
2012-01-05 05:00:00,0,1,0,26,26
2012-01-05 06:00:00,0,1,0,78,78
2012-01-05 07:00:00,0,1,3,212,215
2012-01-05 08:00:00,0,1,11,377,388
2012-01-05 09:00:00,0,1,7,220,227
2012-01-05 10:00:00,0,1,5,81,86
2012-01-05 11:00:00,0,1,6,78,84
2012-01-05 12:00:00,0,1,6,114,120
2012-01-05 13:00:00,0,1,6,112,118
2012-01-05 14:00:00,0,1,13,104,117
2012-01-05 15:00:00,0,1,6,113,119
2012-01-05 16:00:00,0,1,19,178,197
2012-01-05 17:00:00,0,1,19,393,412
2012-01-05 18:00:00,0,1,9,374,383
2012-01-05 19:00:00,0,1,10,255,265
2012-01-05 20:00:00,0,1,5,172,177
2012-01-05 21:00:00,0,1,9,88,97
2012-01-05 22:00:00,0,1,1,70,71
2012-01-05 23:00:00,0,1,4,56,60
2012-01-06 00:00:00,0,1,1,24,25
2012-01-06 01:00:00,0,1,2,6,8
2012-01-06 02:00:00,0,1,2,3,5
2012-01-06 03:00:00,0,1,1,3,4
2012-01-06 04:00:00,0,1,0,3,3
2012-01-06 05:00:00,0,1,0,13,13
2012-01-06 06:00:00,0,1,1,69,70
2012-01-06 07:00:00,0,1,4,201,205
2012-01-06 08:00:00,0,1,11,436,447
2012-01-06 09:00:00,0,1,4,237,241
2012-01-06 10:00:00,0,1,14,102,116
2012-01-06 11:00:00,0,1,8,130,138
2012-01-06 12:00:00,0,1,23,168,191
2012-01-06 13:00:00,0,1,16,188,204
2012-01-06 14:00:00,0,1,26,152,178
2012-01-06 15:00:00,0,1,44,178,222
2012-01-06 16:00:00,0,1,35,259,294
2012-01-06 17:00:00,0,1,20,456,476
2012-01-06 18:00:00,0,1,28,391,419
2012-01-06 19:00:00,0,1,11,261,272
2012-01-06 20:00:00,0,1,14,163,177
2012-01-06 21:00:00,0,1,17,137,154
2012-01-06 22:00:00,0,1,12,123,135
2012-01-06 23:00:00,0,1,13,88,101
2012-01-07 00:00:00,0,0,2,77,79
2012-01-07 01:00:00,0,0,6,56,62
2012-01-07 02:00:00,0,0,2,36,38
2012-01-07 03:00:00,0,0,1,19,20
2012-01-07 04:00:00,0,0,1,9,10
2012-01-07 05:00:00,0,0,2,7,9
2012-01-07 06:00:00,0,0,0,7,7
2012-01-07 07:00:00,0,0,0,20,20
2012-01-07 08:00:00,0,0,0,64,64
2012-01-07 09:00:00,0,0,14,116,130
2012-01-07 10:00:00,0,0,43,160,203
2012-01-07 11:00:00,0,0,74,250,324
2012-01-07 12:00:00,0,0,100,276,376
2012-01-07 13:00:00,0,0,149,296,445
2012-01-07 14:00:00,0,0,156,356,512
2012-01-07 15:00:00,0,0,132,317,449
2012-01-07 16:00:00,0,0,133,268,401
2012-01-07 17:00:00,0,0,87,235,322
2012-01-07 18:00:00,0,0,49,248,297
2012-01-07 19:00:00,0,0,44,171,215
2012-01-07 20:00:00,0,0,21,149,170
2012-01-07 21:00:00,0,0,22,118,140
2012-01-07 22:00:00,0,0,16,93,109
2012-01-07 23:00:00,0,0,16,103,119
2012-01-08 00:00:00,0,0,14,77,91
2012-01-08 01:00:00,0,0,10,62,72
2012-01-08 02:00:00,0,0,10,57,67
2012-01-08 03:00:00,0,0,6,26,32
2012-01-08 04:00:00,0,0,2,4,6
2012-01-08 05:00:00,0,0,0,2,2
2012-01-08 06:00:00,0,0,0,2,2
2012-01-08 07:00:00,0,0,1,23,24
2012-01-08 08:00:00,0,0,4,53,57
2012-01-08 09:00:00,0,0,23,102,125
2012-01-08 10:00:00,0,0,27,181,208
2012-01-08 11:00:00,0,0,55,201,256
2012-01-08 12:00:00,0,0,78,273,351
2012-01-08 13:00:00,0,0,77,266,343
2012-01-08 14:00:00,0,0,75,253,328
2012-01-08 15:00:00,0,0,89,241,330
2012-01-08 16:00:00,0,0,58,256,314
2012-01-08 17:00:00,0,0,22,197,219
2012-01-08 18:00:00,0,0,19,162,181
2012-01-08 19:00:00,0,0,8,104,112
2012-01-08 20:00:00,0,0,7,119,126
2012-01-08 21:00:00,0,0,10,81,91
2012-01-08 22:00:00,0,0,4,54,58
2012-01-08 23:00:00,0,0,0,30,30
2012-01-09 00:00:00,0,1,3,12,15
2012-01-09 01:00:00,0,1,1,4,5
2012-01-09 02:00:00,0,1,2,3,5
2012-01-09 03:00:00,0,1,0,3,3
2012-01-09 04:00:00,0,1,0,4,4
2012-01-09 05:00:00,0,1,0,21,21
2012-01-09 06:00:00,0,1,3,85,88
2012-01-09 07:00:00,0,1,1,239,240
2012-01-09 08:00:00,0,1,13,407,420
2012-01-09 09:00:00,0,1,9,188,197
2012-01-09 10:00:00,0,1,13,95,108
2012-01-09 11:00:00,0,1,6,82,88
2012-01-09 12:00:00,0,1,10,93,103
2012-01-09 13:00:00,0,1,3,77,80
2012-01-09 14:00:00,0,1,5,45,50
2012-01-09 15:00:00,0,1,5,64,69
2012-01-09 16:00:00,0,1,3,46,49
2012-01-09 17:00:00,0,1,5,147,152
2012-01-09 18:00:00,0,1,6,158,164
2012-01-09 19:00:00,0,1,3,187,190
2012-01-09 20:00:00,0,1,5,127,132
2012-01-09 21:00:00,0,1,1,78,79
2012-01-09 22:00:00,0,1,8,54,62
2012-01-09 23:00:00,0,1,1,51,52
2012-01-10 00:00:00,0,1,0,14,14
2012-01-10 01:00:00,0,1,2,3,5
2012-01-10 02:00:00,0,1,2,2,4
2012-01-10 04:00:00,0,1,0,4,4
2012-01-10 05:00:00,0,1,0,23,23
2012-01-10 06:00:00,0,1,0,79,79
2012-01-10 07:00:00,0,1,3,219,222
2012-01-10 08:00:00,0,1,6,465,471
2012-01-10 09:00:00,0,1,11,184,195
2012-01-10 10:00:00,0,1,3,80,83
2012-01-10 11:00:00,0,1,8,93,101
2012-01-10 12:00:00,0,1,13,127,140
2012-01-10 13:00:00,0,1,15,163,178
2012-01-10 14:00:00,0,1,10,96,106
2012-01-10 15:00:00,0,1,17,119,136
2012-01-10 16:00:00,0,1,15,225,240
2012-01-10 17:00:00,0,1,14,446,460
2012-01-10 18:00:00,0,1,13,372,385
2012-01-10 19:00:00,0,1,11,270,281
2012-01-10 20:00:00,0,1,10,190,200
2012-01-10 21:00:00,0,1,7,109,116
2012-01-10 22:00:00,0,1,10,104,114
2012-01-10 23:00:00,0,1,3,38,41
2012-01-11 00:00:00,0,1,2,26,28
2012-01-11 01:00:00,0,1,1,6,7
2012-01-11 02:00:00,0,1,0,5,5
2012-01-11 03:00:00,0,1,0,4,4
2012-01-11 04:00:00,0,1,0,2,2
2012-01-11 05:00:00,0,1,0,22,22
2012-01-11 06:00:00,0,1,2,72,74
2012-01-11 07:00:00,0,1,9,247,256
2012-01-11 08:00:00,0,1,11,488,499
2012-01-11 09:00:00,0,1,7,218,225
2012-01-11 10:00:00,0,1,13,84,97
2012-01-11 11:00:00,0,1,9,90,99
2012-01-11 12:00:00,0,1,4,51,55
2012-01-11 13:00:00,0,1,8,57,65
2012-01-11 14:00:00,0,1,3,70,73
2012-01-11 15:00:00,0,1,6,73,79
2012-01-11 16:00:00,0,1,6,112,118
2012-01-11 17:00:00,0,1,6,128,134
2012-01-11 18:00:00,0,1,2,96,98
2012-01-11 19:00:00,0,1,1,92,93
2012-01-11 20:00:00,0,1,2,55,57
2012-01-11 21:00:00,0,1,0,29,29
2012-01-11 22:00:00,0,1,0,49,49
2012-01-11 23:00:00,0,1,0,9,9
2012-01-12 00:00:00,0,1,0,3,3
2012-01-12 01:00:00,0,1,0,3,3
2012-01-12 02:00:00,0,1,1,1,2
2012-01-12 03:00:00,0,1,0,3,3
2012-01-12 04:00:00,0,1,0,2,2
2012-01-12 05:00:00,0,1,0,16,16
2012-01-12 06:00:00,0,1,1,88,89
2012-01-12 07:00:00,0,1,2,218,220
2012-01-12 08:00:00,0,1,11,497,508
2012-01-12 09:00:00,0,1,10,220,230
2012-01-12 10:00:00,0,1,6,84,90
2012-01-12 11:00:00,0,1,18,101,119
2012-01-12 12:00:00,0,1,14,130,144
2012-01-12 13:00:00,0,1,13,170,183
2012-01-12 14:00:00,0,1,24,132,156
2012-01-12 15:00:00,0,1,32,156,188
2012-01-12 16:00:00,0,1,33,248,281
2012-01-12 17:00:00,0,1,23,472,495
2012-01-12 18:00:00,0,1,22,399,421
2012-01-12 19:00:00,0,1,17,313,330
2012-01-12 20:00:00,0,1,11,229,240
2012-01-12 21:00:00,0,1,12,162,174
2012-01-12 22:00:00,0,1,12,121,133
2012-01-12 23:00:00,0,1,7,60,67
2012-01-13 00:00:00,0,1,4,38,42
2012-01-13 01:00:00,0,1,0,12,12
2012-01-13 02:00:00,0,1,1,13,14
2012-01-13 03:00:00,0,1,3,4,7
2012-01-13 04:00:00,0,1,1,2,3
2012-01-13 05:00:00,0,1,0,21,21
2012-01-13 06:00:00,0,1,2,71,73
2012-01-13 07:00:00,0,1,3,174,177
2012-01-13 08:00:00,0,1,11,408,419
2012-01-13 09:00:00,0,1,10,204,214
2012-01-13 10:00:00,0,1,2,101,103
2012-01-13 11:00:00,0,1,12,102,114
2012-01-13 12:00:00,0,1,14,140,154
2012-01-13 13:00:00,0,1,14,140,154
2012-01-13 14:00:00,0,1,10,119,129
2012-01-13 15:00:00,0,1,15,123,138
2012-01-13 16:00:00,0,1,18,215,233
2012-01-13 17:00:00,0,1,15,317,332
2012-01-13 18:00:00,0,1,7,294,301
2012-01-13 19:00:00,0,1,7,199,206
2012-01-13 20:00:00,0,1,6,130,136
2012-01-13 21:00:00,0,1,7,95,102
2012-01-13 22:00:00,0,1,7,58,65
2012-01-13 23:00:00,0,1,5,60,65
2012-01-14 00:00:00,0,0,2,42,44
2012-01-14 01:00:00,0,0,6,44,50
2012-01-14 02:00:00,0,0,6,32,38
2012-01-14 03:00:00,0,0,6,14,20
2012-01-14 04:00:00,0,0,0,3,3
2012-01-14 05:00:00,0,0,0,4,4
2012-01-14 06:00:00,0,0,0,5,5
2012-01-14 07:00:00,0,0,0,24,24
2012-01-14 08:00:00,0,0,3,89,92
2012-01-14 09:00:00,0,0,3,78,81
2012-01-14 10:00:00,0,0,14,135,149
2012-01-14 11:00:00,0,0,28,150,178
2012-01-14 12:00:00,0,0,30,189,219
2012-01-14 13:00:00,0,0,38,182,220
2012-01-14 14:00:00,0,0,52,179,231
2012-01-14 15:00:00,0,0,49,177,226
2012-01-14 16:00:00,0,0,28,178,206
2012-01-14 17:00:00,0,0,15,129,144
2012-01-14 18:00:00,0,0,21,122,143
2012-01-14 19:00:00,0,0,12,90,102
2012-01-14 20:00:00,0,0,8,95,103
2012-01-14 21:00:00,0,0,3,66,69
2012-01-14 22:00:00,0,0,4,62,66
2012-01-14 23:00:00,0,0,5,71,76
2012-01-15 00:00:00,0,0,9,50,59
2012-01-15 01:00:00,0,0,2,40,42
2012-01-15 02:00:00,0,0,5,38,43
2012-01-15 03:00:00,0,0,1,24,25
2012-01-15 04:00:00,0,0,1,5,6
2012-01-15 05:00:00,0,0,0,5,5
2012-01-15 06:00:00,0,0,1,7,8
2012-01-15 07:00:00,0,0,3,14,17
2012-01-15 08:00:00,0,0,2,34,36
2012-01-15 09:00:00,0,0,10,80,90
2012-01-15 10:00:00,0,0,11,115,126
2012-01-15 11:00:00,0,0,21,144,165
2012-01-15 12:00:00,0,0,42,192,234
2012-01-15 13:00:00,0,0,40,184,224
2012-01-15 14:00:00,0,0,25,163,188
2012-01-15 15:00:00,0,0,33,173,206
2012-01-15 16:00:00,0,0,31,174,205
2012-01-15 17:00:00,0,0,15,131,146
2012-01-15 18:00:00,0,0,7,113,120
2012-01-15 19:00:00,0,0,9,101,110
2012-01-15 20:00:00,0,0,10,85,95
2012-01-15 21:00:00,0,0,1,71,72
2012-01-15 22:00:00,0,0,2,58,60
2012-01-15 23:00:00,0,0,3,26,29
2012-01-16 00:00:00,1,0,2,23,25
2012-01-16 01:00:00,1,0,2,18,20
2012-01-16 02:00:00,1,0,3,14,17
2012-01-16 03:00:00,1,0,0,3,3
2012-01-16 04:00:00,1,0,2,6,8
2012-01-16 05:00:00,1,0,1,5,6
2012-01-16 06:00:00,1,0,0,13,13
2012-01-16 07:00:00,1,0,5,28,33
2012-01-16 08:00:00,1,0,3,75,78
2012-01-16 09:00:00,1,0,7,89,96
2012-01-16 10:00:00,1,0,19,107,126
2012-01-16 11:00:00,1,0,21,158,179
2012-01-16 12:00:00,1,0,20,165,185
2012-01-16 13:00:00,1,0,26,202,228
2012-01-16 14:00:00,1,0,23,158,181
2012-01-16 15:00:00,1,0,17,175,192
2012-01-16 16:00:00,1,0,22,158,180
2012-01-16 17:00:00,1,0,19,174,193
2012-01-16 18:00:00,1,0,6,175,181
2012-01-16 19:00:00,1,0,10,134,144
2012-01-16 20:00:00,1,0,2,88,90
2012-01-16 21:00:00,1,0,3,46,49
2012-01-16 22:00:00,1,0,4,39,43
2012-01-16 23:00:00,1,0,0,28,28
2012-01-17 00:00:00,0,1,0,12,12
2012-01-17 01:00:00,0,1,0,2,2
2012-01-17 02:00:00,0,1,0,12,12
2012-01-17 04:00:00,0,1,0,2,2
2012-01-17 05:00:00,0,1,0,13,13
2012-01-17 06:00:00,0,1,0,57,57
2012-01-17 07:00:00,0,1,5,121,126
2012-01-17 08:00:00,0,1,3,90,93
2012-01-17 09:00:00,0,1,7,61,68
2012-01-17 10:00:00,0,1,1,61,62
2012-01-17 11:00:00,0,1,2,73,75
2012-01-17 12:00:00,0,1,3,83,86
2012-01-17 13:00:00,0,1,8,95,103
2012-01-17 14:00:00,0,1,12,120,132
2012-01-17 15:00:00,0,1,6,123,129
2012-01-17 16:00:00,0,1,14,205,219
2012-01-17 17:00:00,0,1,20,442,462
2012-01-17 18:00:00,0,1,12,451,463
2012-01-17 19:00:00,0,1,11,297,308
2012-01-17 20:00:00,0,1,11,169,180
2012-01-17 21:00:00,0,1,6,174,180
2012-01-17 22:00:00,0,1,5,85,90
2012-01-17 23:00:00,0,1,1,60,61
2012-01-18 00:00:00,0,1,3,14,17
2012-01-18 01:00:00,0,1,0,10,10
2012-01-18 02:00:00,0,1,1,1,2
2012-01-18 03:00:00,0,1,1,3,4
2012-01-18 04:00:00,0,1,0,1,1
2012-01-18 05:00:00,0,1,0,29,29
2012-01-18 06:00:00,0,1,0,88,88
2012-01-18 07:00:00,0,1,1,262,263
2012-01-18 08:00:00,0,1,15,474,489
2012-01-18 09:00:00,0,1,6,196,202
2012-01-18 10:00:00,0,1,5,88,93
2012-01-18 11:00:00,0,1,4,110,114
2012-01-18 12:00:00,0,1,6,155,161
2012-01-18 13:00:00,0,1,6,124,130
2012-01-18 14:00:00,0,1,7,98,105
2012-01-18 15:00:00,0,1,8,122,130
2012-01-18 16:00:00,0,1,13,163,176
2012-01-18 17:00:00,0,1,8,338,346
2012-01-18 18:00:00,0,1,8,347,355
2012-01-18 19:00:00,0,1,5,251,256
2012-01-18 20:00:00,0,1,1,164,165
2012-01-18 21:00:00,0,1,5,119,124
2012-01-18 22:00:00,0,1,4,74,78
2012-01-18 23:00:00,0,1,2,36,38
2012-01-19 00:00:00,0,1,0,16,16
2012-01-19 01:00:00,0,1,0,5,5
2012-01-19 02:00:00,0,1,0,3,3
2012-01-19 03:00:00,0,1,0,4,4
2012-01-19 04:00:00,0,1,0,1,1
2012-01-19 05:00:00,0,1,0,19,19
2012-01-19 06:00:00,0,1,0,86,86
2012-01-19 07:00:00,0,1,2,204,206
2012-01-19 08:00:00,0,1,9,414,423
2012-01-19 09:00:00,0,1,6,204,210
2012-01-19 10:00:00,0,1,10,98,108
2012-01-19 11:00:00,0,1,6,93,99
2012-01-19 12:00:00,0,1,5,106,111
2012-01-19 13:00:00,0,1,6,118,124
2012-01-19 14:00:00,0,1,15,104,119
2012-01-19 15:00:00,0,1,9,118,127
2012-01-19 16:00:00,0,1,8,185,193
2012-01-19 17:00:00,0,1,21,364,385
2012-01-19 18:00:00,0,1,16,345,361
